"ｺｰﾄﾞ","勘定科目名"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"
"4111","売上高","3,778,076","5,094,564","4,668,680","4,738,761","4,481,866","4,596,281","0","0","5,252,814","5,399,872","6,609,246","4,158,044"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,778,076","5,094,564","4,668,680","4,738,761","4,481,866","4,596,281","0","0","5,252,814","5,399,872","6,609,246","4,158,044"
"5111","期首棚卸高","414,813","383,601","450,517","461,421","411,230","385,478","383,204","360,896","443,875","427,372","443,714","495,292"
"5211","商品仕入高","1,176,712","1,679,441","1,497,136","1,424,903","1,389,242","1,424,499","-10,562","132,493","1,546,264","1,666,625","1,995,222","1,092,172"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","383,601","450,517","461,421","411,230","385,478","383,204","360,896","443,875","427,372","443,714","495,292","371,147"
,"当期売上原価","1,207,924","1,612,525","1,486,232","1,475,094","1,414,994","1,426,773","11,746","49,514","1,562,767","1,650,283","1,943,644","1,216,317"
,"売上総利益","2,570,152","3,482,039","3,182,448","3,263,667","3,066,872","3,169,508","-11,746","-49,514","3,690,047","3,749,589","4,665,602","2,941,727"
"6111","給与手当","690,000","660,000","660,000","681,500","661,500","661,500","551,700","561,681","676,500","690,196","732,892","677,500"
"6311","雑給","559,485","744,312","795,246","590,639","675,557","753,137","468,160","557,441","692,091","647,935","709,145","662,533"
"6112","旅費交通費","21,609","28,972","22,536","21,950","21,568","21,686","636","3,137","22,659","20,663","26,109","22,023"
"6113","広告宣伝費","140,747","141,353","165,217","92,313","95,836","89,044","48,500","55,782","86,073","92,635","65,429","80,613"
"6114","販売促進費","53,350","44,284","37,369","35,876","47,206","41,658","31,665","21,955","42,575","46,797","37,826","21,889"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","45,826","44,774","54,514","37,168","49,522","62,354","27,770","21,245","83,047","52,930","78,438","57,367"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","46,000","0","0","0","0","0","62,500","0"
"6312","法定福利費","92,484","92,456","92,456","92,456","97,659","92,456","92,456","90,739","92,456","92,456","99,611","92,456"
"6226","厚生費","4,500","27,177","29,745","17,380","17,727","8,441","0","0","5,000","6,000","31,750","158,455"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","286,798","286,798","286,798","286,798","286,798","286,798","286,798","981,271","296,468","296,468","296,468","296,468"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951","450,951"
"6216","修繕／車両関係費","0","0","68,000","40,000","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","200","0"
"6218","通信交通費","8,555","15,670","7,244","7,607","7,330","0","15,684","15,565","0","15,595","0","31,745"
"6219","水道光熱費","176,282","118,222","167,612","117,409","182,662","134,717","184,219","36,309","79,435","138,766","175,955","144,226"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","30,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","96,473","60,575","141,897","79,373","115,968","48,601","19,092","6,217","62,633","66,399","93,225","77,748"
"6227","管理諸費","7,670","7,670","10,550","4,790","15,850","7,670","0","0","8,180","12,460","101,270","20,293"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300","4,300"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,654,030","2,742,514","3,009,435","2,575,510","2,791,434","2,678,313","2,196,931","2,836,593","2,617,368","2,649,551","2,981,069","2,813,567"
,"営業利益（損失）","-83,878","739,525","173,013","688,157","275,438","491,195","-2,208,677","-2,886,107","1,072,679","1,100,038","1,684,533","128,160"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","-600","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","-600","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-83,878","740,125","173,013","688,157","275,438","491,195","-2,208,677","-2,886,107","1,072,679","1,100,038","1,684,533","128,160"
