"ｺｰﾄﾞ","勘定科目名"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"
"4111","入館売上高","3,669,725","1,360,797","40,265","548,459","5,184,995","3,639,911","4,429,325","6,259,057","5,112,021","5,195,299","4,733,709","5,946,024"
"4112","飲食売上高","1,123,405","260,883","0","318,627","2,889,523","2,075,393","2,312,134","3,218,229","2,547,667","2,728,397","2,532,526","2,884,756"
"4113","物販売上高","284,814","103,649","0","19,848","109,777","113,107","138,269","167,720","134,465","140,561","110,742","114,571"
"4114","その他売上高","348,797","211,732","50,369","1,331,119","2,724,310","1,621,917","1,378,617","1,533,283","1,241,458","1,527,327","1,456,479","3,014,468"
"4115","売上値引戻り高    (△)","111,291","30,408","0","0","356,611","114,663","107,472","165,637","173,733","175,963","158,059","195,497"
,"純売上高","5,315,450","1,906,653","90,634","2,218,053","10,551,994","7,335,665","8,150,873","11,012,652","8,861,878","9,415,621","8,675,397","11,764,322"
"5111","期首棚卸高","532,162","252,161","191,094","191,094","554,360","765,369","753,024","910,135","711,575","786,630","674,528","754,685"
"5211","仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","飲食商品仕入高","168,792","73,847","12,008","433,985","1,008,725","641,199","1,037,547","1,024,216","1,024,581","928,951","1,051,765","1,425,353"
"5215","物販商品仕入高","165,437","84,407","8,150","5,000","58,693","64,048","222,265","50,476","41,410","47,506","54,538","54,227"
"5216","手数料商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","252,161","191,094","191,094","554,360","765,369","753,024","910,135","711,575","786,630","674,528","754,685","1,024,847"
,"当期売上原価","614,230","219,321","20,158","75,719","856,409","717,592","1,102,701","1,273,252","990,936","1,088,559","1,026,146","1,209,418"
,"売上総利益","4,701,220","1,687,332","70,476","2,142,334","9,695,585","6,618,073","7,048,172","9,739,400","7,870,942","8,327,062","7,649,251","10,554,904"
"6111","販売員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,213,328","947,194","899,720","1,046,554","1,403,579","1,427,637","1,554,709","1,637,798","1,424,625","1,724,148","1,893,336","1,852,381"
"6112","販売員旅費","0","0","0","0","0","0","0","0","0","0","0","0"
"6113","広告宣伝費","17,130","17,730","93,209","95,330","301,330","373,561","264,630","900,755","1,202,121","495,694","251,475","321,743"
"6114","容器包装費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","2,553","0","1,869","0","0","0","0","1,245","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","その他の販売費","0","0","0","0","0","0","0","0","0","0","0","0"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","450,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","726,600","778,540","56,709","703,000","-131,143","-1,270,549","708,500","689,513","712,545","688,220","568,453","475,350"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","147,662","42,269","121,258","63,811","92,280","91,403","148,188","238,186","115,949","202,445","145,002","66,399"
"6226","厚生費","65,997","35,443","0","14,669","73,114","81,861","75,593","79,215","71,819","167,320","53,475","75,488"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","93,000","93,000","93,000","93,000","93,000","93,000","93,000","93,000","93,000","2,759,565","365,000","365,000"
"6234","リース料","54,982","45,436","45,000","34,800","55,200","55,000","33,800","54,200","44,000","44,000","44,000","33,800"
"6215","地代家賃","281,818","281,818","281,818","281,818","281,818","281,818","281,818","461,818","281,818","281,818","281,818","281,818"
"6216","修繕費","36,500","200,800","23,000","36,500","350,750","155,364","45,700","39,000","301,000","699,340","23,000","23,000"
"6217","事務用消耗品費","9,665","10,395","8,988","8,527","9,175","12,669","11,527","8,599","10,202","5,298","5,033","8,437"
"6218","通信交通費","9,504","10,434","8,183","7,455","10,310","7,008","7,861","7,853","8,965","8,665","8,197","8,539"
"6219","水道光熱費","670,752","566,992","396,334","500,188","987,564","1,027,056","1,235,763","1,028,825","816,062","1,444,999","1,392,165","1,510,472"
"6221","租税公課","220,000","221,800","220,000","1,549,555","6,000","0","0","0","10,600","0","0","0"
"6222","寄付金","0","0","0","20,000","0","0","0","0","0","0","0","0"
"6223","接待交際費","15,100","16,700","0","0","0","0","2,917","2,917","0","6,297","0","0"
"6224","保険料","16,260","16,260","16,260","16,260","16,260","16,260","16,260","16,260","23,850","22,480","18,880","16,090"
"6225","備品消耗品費","1,648,858","84,969","378,945","4,516,507","1,177,715","653,139","921,164","515,231","846,773","2,171,983","364,438","433,014"
"6227","管理諸費","77,380","226,150","36,100","54,800","86,400","67,918","113,550","181,876","151,550","191,100","110,100","433,838"
"6228","車両費","4,429","8,000","0","0","0","0","0","136,943","-27,573","101,746","54,546","63,637"
"6229","燃料費","1,282,757","1,379,027","1,279","862","1,129,130","1,709,144","1,291,144","1,300,430","1,360,205","1,580,131","1,698,755","1,693,612"
"6313","決済手数料","15,468","7,098","0","28,174","107,598","61,524","50,035","142,031","86,125","91,416","82,727","117,976"
"6233","衛生管理費","110,265","123,365","87,392","86,665","152,865","117,120","238,865","110,265","164,328","187,345","118,865","174,165"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","15,929","0","0"
"6231","雑費","24,448","12,500","26,400","27,100","21,500","16,255","15,273","19,715","18,473","15,028","40,180","16,233"
,"販売費及び一般管理費計","6,741,903","5,125,920","2,796,148","9,185,575","6,226,314","4,977,188","7,110,297","7,664,430","7,716,437","12,906,212","7,519,445","8,420,992"
,"営業利益（損失）","-2,040,683","-3,438,588","-2,725,672","-7,043,241","3,469,271","1,640,885","-62,125","2,074,970","154,505","-4,579,150","129,806","2,133,912"
"7111","受取利息","0","0","6","0","0","0","0","0","18","4","0","0"
"7112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","300","0","0","0","0","0","0"
"7118","雑収入","0","18,182","0","0","61,935","0","0","1,500","0","435,563","0","0"
,"営業外収益計","0","18,182","6","0","61,935","300","0","1,500","18","435,567","0","0"
"7511","支払利息","6,293","6,155","5,532","5,400","859","5,400","5,226","5,400","5,400","1,095,501","5,400","5,226"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","17,318","0","462,000"
,"営業外費用計","6,293","6,155","5,532","5,400","859","5,400","5,226","5,400","5,400","1,112,819","5,400","467,226"
,"経常利益（損失）","-2,046,976","-3,426,561","-2,731,198","-7,048,641","3,530,347","1,635,785","-67,351","2,071,070","149,123","-5,256,402","124,406","1,666,686"
