"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","0","0","0","5,486,047","7,474,573","6,852,941","6,328,274","5,580,878","2,087,411","2,839,692","5,475,475","6,047,200"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","5,486,047","7,474,573","6,852,941","6,328,274","5,580,878","2,087,411","2,839,692","5,475,475","6,047,200"
"5111","期首たな卸高","0","0","0","0","528,654","609,683","542,935","512,669","468,445","482,034","347,698","499,826"
"5211","商品仕入高","0","0","0","2,279,643","2,329,273","1,814,375","1,908,504","1,624,621","666,313","819,284","1,704,460","1,804,683"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","528,654","609,683","542,935","512,669","468,445","482,034","347,698","499,826","429,179"
,"当期売上原価","0","0","0","1,750,989","2,248,244","1,881,123","1,938,770","1,668,845","652,724","953,620","1,552,332","1,875,330"
,"売上総利益","0","0","0","3,735,058","5,226,329","4,971,818","4,389,504","3,912,033","1,434,687","1,886,072","3,923,143","4,171,870"
"6111","給与手当","0","0","0","1,077,197","954,500","966,500","957,500","937,500","859,030","809,562","945,201","937,500"
"6311","雑給","0","0","0","547,626","701,494","595,926","777,473","713,470","480,169","397,459","606,042","717,529"
"6112","旅費交通費","0","0","0","65,809","47,011","40,093","35,128","37,309","22,534","14,538","34,711","43,995"
"6113","広告宣伝費","0","0","23,807","46,143","144,353","136,770","84,292","110,956","46,851","60,954","61,326","101,746"
"6114","販売促進費","0","0","0","221,360","26,000","16,035","21,000","16,002","16,012","16,000","16,012","20,004"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","13,011","105,364","48,592","58,791","49,773","45,004","42,473","45,897","68,206"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
