"ｺｰﾄﾞ","勘定科目名"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"
"4111","売上高","9,088,476","7,645,520","8,649,138","9,648,318","7,904,035","11,286,042","11,342,917","8,930,758","8,854,620","7,519,200","8,089,151","7,060,439"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,088,476","7,645,520","8,649,138","9,648,318","7,904,035","11,286,042","11,342,917","8,930,758","8,854,620","7,519,200","8,089,151","7,060,439"
"5111","期首棚卸高","1,031,246","1,366,526","1,456,659","1,394,146","1,110,322","1,355,039","1,378,410","1,889,483","1,636,260","1,798,388","1,770,420","1,611,451"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","7,326,382","6,187,904","6,971,305","7,484,564","6,411,912","9,019,035","7,931,062","6,168,964","6,565,745","5,487,941","5,611,752","10,085,524"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,366,526","1,456,659","1,394,146","1,110,322","1,355,039","1,378,410","1,889,483","1,636,260","1,798,388","1,770,420","1,611,451","4,892,210"
,"当期売上原価","6,991,102","6,097,771","7,033,818","7,768,388","6,167,195","8,995,664","7,419,989","6,422,187","6,403,617","5,515,909","5,770,721","6,804,765"
,"売上総利益","2,097,374","1,547,749","1,615,320","1,879,930","1,736,840","2,290,378","3,922,928","2,508,571","2,451,003","2,003,291","2,318,430","255,674"
"6111","給与手当","954,336","902,120","920,756","931,618","911,396","1,025,162","740,338","682,288","708,969","706,989","600,332","567,753"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","20,908","23,358","20,875","26,837","18,682","21,287","21,264","18,537","26,687","16,356","26,495","19,131"
"6113","広告宣伝費","8,182","11,818","12,727","1,818","0","2,727","909","0","15,000","0","0","6,020"
"6114","販売促進費","0","0","3,500","0","0","0","0","0","0","0","0","0"
"6115","荷造発送費","540","750","960","0","0","1,080","0","0","0","0","0","2,580"
"6116","外注費","0","0","279,350","0","133,200","429,200","0","0","0","0","0","0"
"6117","支払手数料","178,493","139,821","42,100","156,043","198,992","221,155","239,425","246,617","233,071","354,495","181,791","164,069"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","594,152","0","0","0","100,000","100,000","100,000","100,000","0","-300,000"
"6312","法定福利費","147,397","147,397","231,762","144,579","147,397","147,363","110,937","110,937","110,937","110,937","110,937","104,537"
"6226","厚生費","0","0","8,182","0","0","0","0","0","0","0","9,091","10,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,875"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","205,455","205,455","205,455","205,455","198,182","212,727","205,455","205,455","205,455","205,455","205,455","205,455"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","5,000","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","2,947","42,233","2,947","26,274","19,377","34,871","32,945","22,716","22,710","2,947","35,552","15,109"
"6219","水道光熱費","18,251","15,229","16,899","25,899","29,372","32,568","26,672","19,867","15,570","18,829","20,089","21,488"
"6221","租税公課","2,000","0","2,000","0","0","0","2,000","0","2,000","0","0","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","10,000"
"6225","備品消耗品費","8,574","17,698","16,333","18,063","10,535","18,584","11,985","29,887","9,587","30,044","8,793","7,677"
"6227","管理諸費","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","10,000","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","1,582,938","1,541,734","2,393,853","1,572,441","1,702,988","2,192,579","1,527,785","1,477,159","1,485,841","1,581,907","1,234,390","866,694"
,"営業利益（損失）","514,436","6,015","-778,533","307,489","33,852","97,799","2,395,143","1,031,412","965,162","421,384","1,084,040","-611,020"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","514,436","6,015","-778,533","307,489","33,852","97,799","2,395,143","1,031,412","965,162","421,384","1,084,040","-611,020"
