"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","売上高","14,332,746","13,824,608","12,321,162","16,067,740","18,687,465","27,594,137","23,130,214","15,181,738","17,579,561","15,527,071","16,035,246","13,253,385"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,332,746","13,824,608","12,321,162","16,067,740","18,687,465","27,594,137","23,130,214","15,181,738","17,579,561","15,527,071","16,035,246","13,253,385"
"5111","期首棚卸高","4,598,466","5,280,691","9,789,654","11,644,972","9,305,915","10,499,547","9,899,884","7,487,040","5,515,387","6,536,248","5,060,138","6,515,588"
"5211","商品仕入高","5,538,923","9,305,960","6,207,116","3,180,278","7,683,140","9,835,626","4,746,184","2,875,886","6,650,522","3,164,224","5,986,756","4,873,130"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","5,280,691","9,789,654","11,644,972","9,305,915","10,499,547","9,899,884","7,487,040","5,515,387","6,536,248","5,060,138","6,515,588","7,111,283"
,"当期売上原価","4,856,698","4,796,997","4,351,798","5,519,335","6,489,508","10,435,289","7,159,028","4,847,539","5,629,661","4,640,334","4,531,306","4,277,435"
,"売上総利益","9,476,048","9,027,611","7,969,364","10,548,405","12,197,957","17,158,848","15,971,186","10,334,199","11,949,900","10,886,737","11,503,940","8,975,950"
"6111","給与手当","1,605,137","1,629,264","1,468,000","1,503,000","1,503,000","1,700,740","1,503,000","1,503,000","1,344,635","1,265,500","1,280,000","1,250,000"
"6311","雑給","2,441,954","2,589,736","2,302,197","2,465,857","2,728,240","3,365,212","3,414,711","2,666,741","3,065,221","2,823,304","2,866,348","2,826,634"
"6112","旅費交通費","107,529","73,660","96,679","72,426","70,905","81,626","97,284","69,195","58,288","103,734","72,162","113,161"
"6113","広告宣伝費","1,127,907","714,707","775,844","882,352","1,113,030","1,368,675","1,207,005","705,818","1,084,550","595,162","817,431","773,612"
"6114","販売促進費","202,300","213,181","248,369","373,950","296,598","319,309","352,100","547,666","337,943","320,332","319,999","339,388"
"6115","荷造発送費","0","1,460","0","0","1,850","9,360","0","0","0","3,480","1,280","0"
"6116","外注費","0","86,708","30,994","30,132","6,105","6,408","6,306","0","0","0","0","0"
"6117","支払手数料","379,854","455,163","576,337","668,734","538,051","749,483","716,112","502,883","561,376","662,540","527,023","501,361"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","92,250","92,250","92,250","61,499","61,499","-113,501","61,499","61,499","61,499","61,499","61,499","61,499"
"6312","法定福利費","394,800","358,335","373,590","373,590","373,590","398,006","373,590","394,391","373,590","461,263","368,859","540,570"
"6226","厚生費","52,721","88,169","117,078","5,000","85,296","18,120","109,314","10,384","35,356","131,277","37,577","71,278"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
