"ｺｰﾄﾞ","勘定科目名"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"
"4111","売上高","329,003,204","335,294,728","368,302,464","349,112,634","431,441,150","393,289,067","339,169,771","454,826,398","367,888,605","285,520,037","258,645,856","292,533,031"
"4112","賃貸料収入","6,586,797","5,769,107","4,343,334","4,186,333","6,607,246","4,293,563","5,064,542","4,934,515","5,142,260","4,069,424","5,609,732","4,722,424"
"4113","ＬＬＰ収益","0","212,485,969","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","126,583","132,052","154,471","117,981","163,358","151,667","143,810","178,535","167,427","161,525","167,884","216,203"
,"純売上高","335,463,418","553,417,752","372,491,327","353,180,986","437,885,038","397,430,963","344,090,503","459,582,378","372,863,438","289,427,936","264,087,704","297,039,252"
"5111","期首棚卸高","79,148,350","82,212,684","96,694,942","94,698,598","98,074,655","121,379,607","91,389,364","87,122,844","92,367,849","92,919,709","92,353,035","54,222,550"
"5211","商品仕入高","97,367,887","98,669,041","90,707,646","97,347,843","148,854,666","83,824,768","90,424,715","126,491,617","97,573,888","104,939,823","100,172,493","118,878,719"
"5212","通信商品仕入高","48,652,126","64,833,856","76,135,983","63,715,299","67,859,265","65,687,187","60,909,264","94,654,961","65,728,193","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","28,279","35,822","28,921","26,698","50,518","22,880","28,918","26,698","28,918","24,390","29,700","26,698"
"5216","ＬＬＰ原価","0","106,992,013","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","82,212,684","96,694,942","94,698,598","98,074,655","121,379,607","91,389,364","87,122,844","92,367,849","92,919,709","92,353,035","54,222,550","66,426,992"
,"当期売上原価","142,983,958","256,048,474","168,868,894","157,713,783","193,459,497","179,525,078","155,629,417","215,928,271","162,779,139","105,530,887","138,332,678","106,700,975"
