"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","売上高","18,030,983","13,423,608","16,195,626","15,177,576","15,452,983","12,802,581","12,678,879","12,173,394","10,533,210","11,525,993","13,594,999","19,084,594"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","18,030,983","13,423,608","16,195,626","15,177,576","15,452,983","12,802,581","12,678,879","12,173,394","10,533,210","11,525,993","13,594,999","19,084,594"
"5111","期首たな卸高","6,401,930","5,101,366","4,713,873","4,074,544","4,770,517","4,654,468","4,376,163","6,147,269","6,063,081","6,398,596","9,885,797","9,832,437"
"5211","商品仕入高","4,365,821","4,517,006","4,710,936","5,833,823","4,990,602","3,989,910","5,939,903","4,029,361","3,979,648","7,364,191","4,467,013","8,476,027"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","5,101,366","4,713,873","4,074,544","4,770,517","4,654,468","4,376,163","6,147,269","6,063,081","6,398,596","9,885,797","9,832,437","10,666,433"
,"当期売上原価","5,666,385","4,904,499","5,350,265","5,137,850","5,106,651","4,268,215","4,168,797","4,113,549","3,644,133","3,876,990","4,520,373","7,642,031"
,"売上総利益","12,364,598","8,519,109","10,845,361","10,039,726","10,346,332","8,534,366","8,510,082","8,059,845","6,889,077","7,649,003","9,074,626","11,442,563"
"6111","給与手当","1,708,730","1,752,150","1,646,600","1,781,200","1,961,897","1,937,037","1,919,564","1,427,314","1,357,787","1,362,900","1,344,900","1,234,400"
"6311","雑給","2,781,253","2,367,418","2,642,494","2,291,914","2,128,305","1,989,183","1,975,785","2,218,624","1,955,349","2,039,890","2,217,684","2,644,101"
"6112","旅費交通費","159,393","116,286","130,034","150,539","131,044","104,344","95,664","81,243","77,744","72,404","79,115","96,894"
"6113","広告宣伝費","1,086,998","941,371","1,290,874","1,067,634","1,170,101","823,032","941,984","870,254","941,346","1,102,052","1,024,624","985,922"
"6114","販売促進費","38,456","81,370","407,311","255,037","254,632","405,210","235,420","184,951","493,690","88,805","186,627","233,300"
"6115","荷造発送費","0","0","1,600","0","0","700","0","700","0","0","0","19,600"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","822,475","488,904","617,142","584,340","532,812","629,221","568,910","447,640","536,403","598,689","522,490","722,203"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","148,000","148,000","148,000","148,000","148,000","-326,250","148,000","148,000","148,000","148,000","148,000","-283,250"
"6312","法定福利費","386,810","386,810","363,713","397,373","371,581","462,027","401,717","314,453","319,028","299,296","299,296","170,732"
"6226","厚生費","136,871","103,961","136,960","173,953","81,440","152,642","140,249","79,383","178,360","130,549","98,842","157,942"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","988,828","988,828","988,828","988,828","988,828","988,828","988,828","988,828","1,072,220","859,296","859,296","859,296"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","953,918","953,918","953,918","953,000","947,492","953,000","953,000","953,000","963,185","943,000","933,000","933,000"
"6216","修繕／車両関係費","109,324","81,019","165,270","199,316","72,160","113,500","141,943","158,744","286,360","139,045","240,500","294,000"
"6217","事務用消耗品費","0","0","15,280","0","0","7,881","10,577","50,170","4,499","9,015","20,292","10,972"
"6218","通信交通費","27,445","17,378","10,584","20,656","26,900","8,129","26,880","10,408","28,754","17,026","8,368","17,802"
"6219","水道光熱費","837,637","627,200","731,304","531,109","618,245","479,140","653,650","558,315","784,366","493,336","529,156","407,895"
"6221","租税公課","8,000","8,000","10,000","8,000","8,000","10,000","4,000","4,000","2,000","4,000","5,000","8,000"
"6222","寄付金","0","0","0","6,666","0","0","0","0","0","5,000","10,000","0"
"6223","接待交際費","0","0","0","0","0","2,750","0","0","0","0","0","0"
"6224","保険料","46,292","46,292","46,292","46,292","46,292","46,292","46,292","46,292","46,292","46,452","43,892","43,892"
"6225","備品消耗品費","565,625","254,858","361,451","587,653","406,781","408,564","393,219","466,958","1,303,997","504,229","551,372","663,219"
"6227","管理諸費","259,276","294,163","264,597","337,191","323,825","283,942","320,566","397,641","306,352","314,624","281,673","295,175"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","5,000","0","0","30,000","20,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","11,065,331","9,657,926","10,932,252","10,528,701","10,218,335","9,479,172","9,971,248","9,406,918","10,805,732","9,207,608","9,424,127","9,515,095"
,"営業利益（損失）","1,299,267","-1,138,817","-86,891","-488,975","127,997","-944,806","-1,461,166","-1,347,073","-3,916,655","-1,558,605","-349,501","1,927,468"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","940"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","940"
,"経常利益（損失）","1,299,267","-1,138,817","-86,891","-488,975","127,997","-944,806","-1,461,166","-1,347,073","-3,916,655","-1,558,605","-349,501","1,926,528"
