"ｺｰﾄﾞ","勘定科目名"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"
"4111","売上高","5,023,769","8,646,840","18,947,101","3,425,254","4,644,722","6,943,270","3,636,672","3,168,657","10,342,057","4,898,485","928,367","6,879,963"
"4112","賃貸料収入","2,562,154","3,190,574","9,947,480","7,342,541","4,450,979","3,257,906","2,714,542","3,810,069","3,255,940","3,213,263","3,147,431","3,569,795"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,585,923","11,837,414","28,894,581","10,767,795","9,095,701","10,201,176","6,351,214","6,978,726","13,597,997","8,111,748","4,075,798","10,449,758"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","38,479","529,946","29,536","127,186","0","0","-229,265","26,896","14,400","50,448","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","1,293,241","1,744,757","1,390,689","1,211,555","1,412,778","1,265,222","35,301","38,670","29,708","33,222","0","86,259"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","1,293,241","1,783,236","1,920,635","1,241,091","1,539,964","1,265,222","35,301","-190,595","56,604","47,622","50,448","86,259"
,"売上総利益","6,292,682","10,054,178","26,973,946","9,526,704","7,555,737","8,935,954","6,315,913","7,169,321","13,541,393","8,064,126","4,025,350","10,363,499"
"6111","給与手当","4,518,578","4,815,053","4,615,713","4,646,778","4,481,013","4,607,394","4,177,264","2,241,000","2,211,000","2,788,098","4,131,676","3,845,783"
"6311","雑給","0","0","111,875","387,176","0","0","-50,000","1,427,020","1,261,051","827,823","435,942","356,987"
"6112","旅費交通費","794,834","772,420","642,374","1,895,112","1,011,519","2,098,028","855,353","-373,516","1,228,091","893,606","573,509","170,160"
"6113","広告宣伝費","2,744,068","2,364,375","1,566,108","1,828,606","2,895,026","1,452,701","2,526,645","1,105,484","1,157,078","2,174,279","513,319","423,123"
"6114","販売促進費","424,416","468,905","568,005","319,226","874,843","426,538","255,780","450,765","286,992","276,339","582,089","102,575"
"6115","荷造発送費","1,060","15,624","2,449","840","2,230","1,820","22,090","840","1,810","1,900","840","840"
"6116","外注費","536,556","529,296","594,556","500,000","500,000","523,382","500,000","0","1,000,000","500,000","500,000","230,000"
"6117","支払手数料","1,072,279","769,150","1,407,386","755,262","3,343,579","1,225,485","838,560","3,742,561","153,647","1,013,481","284,934","635,653"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","9,030,000","9,030,000","9,030,000","9,030,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","3,015,001","1,664,001"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","-933,500","385,000","385,000","385,000","385,000","385,000","-1,033,500","385,000","385,000","385,000","0","0"
"6312","法定福利費","352,605","3,317,998","213,896","6,325,566","240,607","96,109","785,584","594,046","230,992","2,429,188","1,173,009","428,662"
"6226","厚生費","837,489","5,601,243","4,462,303","-2,948,471","507,078","5,087,539","-665,579","83,344","15,832,588","4,527,884","4,526,866","333,181"
"6119","退職金","0","0","0","0","0","0","0","0","0","300,000","0","0"
"6214","減価償却費","5,320,074","5,320,074","5,320,074","8,535,955","5,860,641","5,860,641","5,860,641","5,860,641","5,860,641","5,860,641","5,860,641","5,860,641"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,157,962","2,162,592","3,305,185","2,219,629","2,407,212","-71,818","-50,909","-72,727","-61,818","58,182","-61,818","-61,818"
"6216","修繕／車両関係費","-1,059,390","-1,415,342","-1,010,321","2,162,842","-796,856","-826,389","-1,560,519","-1,546,536","-647,339","3,241,760","19,895","284,914"
"6217","事務用消耗品費","26,000","0","42,921","40,977","0","42,846","0","0","30,778","52,956","0","0"
"6218","通信交通費","151,259","414,085","93,045","2,314,673","225,145","73,628","237,704","403,811","58,506","425,989","292,267","40,320"
"6219","水道光熱費","431,960","514,577","483,992","107,972","534,558","424,864","936,988","195,517","333,164","191,128","278,507","185,496"
"6221","租税公課","23,591","4,987,250","858,707","11,450,081","61,300","80,117","10,000","628,972","155,536","160,125","3,863,200","1,305,863"
"6222","寄付金","20,000","10,000","10,000","75,000","50,000","0","9,000","0","10,000","0","0","9,000"
"6223","接待交際費","878,107","1,505,624","1,031,087","1,509,778","587,293","885,868","1,419,174","563,334","1,060,270","632,288","290,486","134,500"
"6224","保険料","-6,068","37,212","19,002","1,225,664","97,115","106,515","22,990","54,580","164,820","78,680","-135,500","-122,500"
"6225","備品消耗品費","204,944","602,470","307,656","6,009,631","121,941","132,569","211,514","-55,200","107,942","90,927","727,177","91,673"
"6227","管理諸費","1,189,929","1,323,337","357,998","1,606,713","1,493,530","3,464,113","1,175,932","3,147,536","1,607,026","1,258,540","5,267,568","562,963"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","393,680","199,000","77,000","74,000","160,000","269,500","125,000","60,000","319,333","-66,000","375,200","95,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","451,853","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","5,037","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","29,110,433","43,729,943","34,496,011","60,914,900","33,372,774","34,676,450","24,939,712","27,226,472","41,077,108","36,432,814","32,514,808","16,577,017"
,"営業利益（損失）","-22,817,751","-33,675,765","-7,522,065","-51,388,196","-25,817,037","-25,740,496","-18,623,799","-20,057,151","-27,535,715","-28,368,688","-28,489,458","-6,213,518"
"7111","受取利息","4","5","75,855","794,408","10","405,002","6","5","405,860","313","22","75,008"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","1,660","919","0","81","0","3,000,000","0","0","0","0","36,000,000","0"
"7118","雑収入","166,440","1,922,039","5,141,348","6,066,551","330,465","465,574","1,331,772","177,759","3,501,039","606,016","3,217,542","5,329,510"
,"営業外収益計","168,104","1,922,963","5,217,203","6,861,040","330,475","3,870,576","1,331,778","177,764","3,906,899","606,329","39,217,564","5,404,518"
"7511","支払利息","303,115","364,813","356,840","295,737","270,100","292,476","322,062","302,216","404,005","337,969","250,487","507,801"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","10,348","0","0","0","0","0","0","0","0"
"7513","現金過不足","-44","0","0","36,737","-543","-20","0","0","-2,872","28,270","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","2,418,666","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","1,630,380","0","0","0","0","0","0","169,260","0","1,200,000"
,"営業外費用計","303,071","364,813","1,987,220","2,761,488","269,557","292,456","322,062","302,216","401,133","535,499","250,487","1,707,801"
,"経常利益（損失）","-22,952,718","-32,117,615","-4,292,082","-47,288,644","-25,756,119","-22,162,376","-17,614,083","-20,181,603","-24,029,949","-28,297,858","10,477,619","-2,516,801"
