"ｺｰﾄﾞ","勘定科目名"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"
"4111","プレイ売上高","4,251,316","4,614,664","4,354,998","5,153,707","4,574,815","5,067,947","5,228,175","5,845,904","5,067,487","5,604,745","5,597,682","5,479,104"
"4112","会員券売上高","271,096","261,636","199,367","321,368","245,730","245,726","235,548","405,819","182,545","261,638","293,274","205,821"
"4113","ゴルフ用品・雑貨売上高","45,378","77,508","118,527","114,767","72,967","85,577","84,568","65,556","94,885","80,259","67,240","62,045"
"4114","手数料収入","159,620","149,351","159,019","124,307","65,353","57,781","82,873","196,141","180,470","207,533","558,718","179,327"
"4115","ポイント値引・入会金返金(△)","790,417","870,102","772,433","888,517","579,501","682,836","753,216","793,393","725,628","925,670","748,371","898,164"
,"純売上高","3,936,993","4,233,057","4,059,478","4,825,632","4,379,364","4,774,195","4,877,948","5,720,027","4,799,759","5,228,505","5,768,543","5,028,133"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","248,274","0","0"
"5211","商品仕入高","23,335","7,183","102,078","84,294","3,949","50,636","68,103","23,735","112,949","79,097","8,898","37,082"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","303,628","0","0"
,"当期売上原価","23,335","7,183","102,078","84,294","3,949","50,636","68,103","23,735","112,949","23,743","8,898","37,082"
,"売上総利益","3,913,658","4,225,874","3,957,400","4,741,338","4,375,415","4,723,559","4,809,845","5,696,292","4,686,810","5,204,762","5,759,645","4,991,051"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
