"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","売上高","10,204,698","12,636,791","8,754,038","8,318,947","8,642,751","15,211,531","12,362,980","7,985,842","7,819,058","609,037","0","2,979,611"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","75,973","89,685","124,708","67,631","69,460","124,030","84,807","69,155","68,341","4,958","0","24,892"
,"純売上高","10,128,725","12,547,106","8,629,330","8,251,316","8,573,291","15,087,501","12,278,173","7,916,687","7,750,717","604,079","0","2,954,719"
"5111","期首たな卸高","512,625","584,658","640,921","584,423","642,466","627,585","1,147,596","722,416","586,420","520,332","612,231","612,231"
"5211","商品仕入高","1,260,559","1,298,698","1,032,333","930,469","971,188","2,072,877","1,023,806","780,472","827,749","184,004","840","170,419"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","584,658","640,921","584,423","642,466","627,585","1,147,596","722,416","586,420","520,332","612,231","612,231","496,304"
,"当期売上原価","1,188,526","1,242,435","1,088,831","872,426","986,069","1,552,866","1,448,986","916,468","893,837","92,105","840","286,346"
,"売上総利益","8,940,199","11,304,671","7,540,499","7,378,890","7,587,222","13,534,635","10,829,187","7,000,219","6,856,880","511,974","-840","2,668,373"
"6111","給与手当","1,003,080","1,060,665","1,009,245","996,540","1,012,900","1,095,354","1,052,900","1,019,900","1,012,900","838,383","728,578","934,504"
