"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","売上高","5,379,567","5,881,100","5,132,130","5,491,172","5,917,996","6,176,962","5,724,208","6,033,337","7,932,872","6,225,146","6,765,063","5,686,982"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,379,567","5,881,100","5,132,130","5,491,172","5,917,996","6,176,962","5,724,208","6,033,337","7,932,872","6,225,146","6,765,063","5,686,982"
"5111","期首棚卸高","521,030","530,879","490,408","599,965","490,507","576,653","671,768","836,835","649,020","531,965","629,522","653,919"
"5211","商品仕入高","1,721,200","1,794,871","1,823,056","1,690,718","2,044,412","2,257,566","2,109,006","1,959,638","2,630,555","2,239,151","2,285,536","1,792,862"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","530,879","490,408","599,965","490,507","576,653","671,768","836,835","649,020","531,965","629,522","653,919","478,937"
,"当期売上原価","1,711,351","1,835,342","1,713,499","1,800,176","1,958,266","2,162,451","1,943,939","2,147,453","2,747,610","2,141,594","2,261,139","1,967,844"
,"売上総利益","3,668,216","4,045,758","3,418,631","3,690,996","3,959,730","4,014,511","3,780,269","3,885,884","5,185,262","4,083,552","4,503,924","3,719,138"
"6111","給与手当","317,000","542,000","537,000","547,000","597,500","613,500","593,500","610,000","611,500","717,218","833,300","830,300"
"6311","雑給","1,121,948","1,016,076","872,590","1,031,595","947,210","1,074,635","1,138,284","960,152","1,338,816","1,122,004","1,123,475","1,052,488"
"6112","旅費交通費","43,794","45,466","49,974","33,742","49,379","48,677","38,334","44,377","39,360","51,630","67,137","55,440"
"6113","広告宣伝費","162,802","102,883","95,155","76,232","152,569","98,273","179,203","170,752","235,658","200,686","138,718","125,960"
"6114","販売促進費","48,787","70,584","38,582","24,635","42,419","84,087","16,000","50,752","59,086","75,754","16,000","50,752"
"6115","荷造発送費","0","0","0","0","1,682","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","358,054","357,263","358,495","368,750","393,817","655,774","558,340","525,668","713,597","624,714","765,243","575,588"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","67,250","67,250","67,250","44,833","44,833","-124,167","44,833","44,833","44,833","44,833","44,833","44,833"
"6312","法定福利費","113,565","105,150","102,345","142,771","139,065","153,090","131,797","131,797","131,797","210,066","182,006","210,385"
"6226","厚生費","181,666","69,666","128,878","69,000","41,713","77,574","101,401","10,392","11,733","138,151","78,220","40,233"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","460,394","460,394","360,506","427,305","427,305","427,305","427,305","427,305","427,305","427,305","427,305","427,305"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","550,000","575,000","575,000","575,000","575,000","575,000","575,000","575,000","575,000","575,000","575,000","575,000"
"6216","修繕／車両関係費","19,860","0","0","20,700","0","0","28,750","0","0","0","0","0"
"6217","事務用消耗品費","0","1,055","0","0","4,274","385","0","4,873","2,990","0","0","0"
