"ｺｰﾄﾞ","勘定科目名"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"
"4111","売上高","10,815,357","13,537,975","13,741,098","24,521,700","18,811,633","13,344,791","15,771,688","12,184,953","12,506,295","11,395,826","13,848,360","11,273,065"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,815,357","13,537,975","13,741,098","24,521,700","18,811,633","13,344,791","15,771,688","12,184,953","12,506,295","11,395,826","13,848,360","11,273,065"
"5111","期首棚卸高","8,532,293","9,761,943","8,063,332","9,197,208","8,378,604","7,233,220","5,342,745","6,953,098","6,187,283","7,512,031","8,024,825","15,898,826"
"5211","商品仕入高","4,921,126","2,833,723","5,677,099","9,136,192","4,507,993","2,426,586","6,389,810","2,903,370","5,105,296","4,623,214","11,804,139","2,165,000"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","9,761,943","8,063,332","9,197,208","8,378,604","7,233,220","5,342,745","6,953,098","6,187,283","7,512,031","8,024,825","15,898,826","14,693,967"
,"当期売上原価","3,691,476","4,532,334","4,543,223","9,954,796","5,653,377","4,317,061","4,779,457","3,669,185","3,780,548","4,110,420","3,930,138","3,369,859"
,"売上総利益","7,123,881","9,005,641","9,197,875","14,566,904","13,158,256","9,027,730","10,992,231","8,515,768","8,725,747","7,285,406","9,918,222","7,903,206"
"6111","給与手当","1,172,500","1,402,500","1,177,500","1,497,108","1,434,000","1,542,500","1,622,500","1,625,500","1,625,200","1,307,700","1,355,200","1,225,200"
"6311","雑給","1,670,943","2,235,011","2,066,652","2,683,448","2,551,014","2,111,671","2,131,491","1,792,936","1,858,986","1,968,189","2,173,748","2,163,485"
"6112","旅費交通費","86,962","80,937","75,342","91,333","98,494","102,286","98,002","115,251","111,069","111,748","127,173","135,191"
"6113","広告宣伝費","630,981","626,833","735,683","1,019,706","787,230","632,515","763,969","424,030","560,167","576,761","795,497","530,965"
"6114","販売促進費","295,667","289,388","86,506","293,265","327,791","252,379","296,588","363,118","201,512","219,744","198,993","239,396"
"6115","荷造発送費","0","0","0","3,700","3,400","5,100","6,600","6,600","0","4,400","4,400","0"
"6116","外注費","0","8,402","7,255","28,776","40,887","34,635","27,353","18,748","55,973","10,797","20,183","9,829"
"6117","支払手数料","496,360","494,498","800,431","663,283","595,668","462,389","488,210","530,196","442,138","424,231","405,053","399,362"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","90,500","60,333","60,333","-177,667","60,333","60,333","60,333","60,333","60,333","60,333","60,333","60,333"
"6312","法定福利費","375,821","375,821","415,992","448,651","415,992","446,847","415,992","475,008","457,140","676,618","457,140","457,140"
"6226","厚生費","53,278","42,943","67,528","47,184","114,384","42,324","49,961","49,997","11,733","78,733","11,733","10,824"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","182,542","166,580","166,580","166,580","166,580","166,580","166,580","166,580","166,580","166,580","166,580","166,580"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","550,000","639,000","639,000","639,000","639,000","639,000","639,000","639,000","639,000","639,000","639,000","639,000"
"6216","修繕／車両関係費","233,942","0","58,190","35,000","0","0","40,300","79,200","96,500","143,640","100,500","58,500"
"6217","事務用消耗品費","0","1,181","0","0","0","1,395","0","7,253","300","600","0","0"
"6218","通信交通費","8,224","14,780","16,459","15,256","8,712","20,131","14,609","14,360","24,931","17,913","11,002","15,518"
"6219","水道光熱費","820,342","594,506","632,038","441,054","759,357","623,026","683,941","447,884","641,402","387,398","544,990","511,328"
"6221","租税公課","0","1,000","2,000","10,000","0","0","8,000","2,000","7,000","0","4,000","6,000"
"6222","寄付金","0","0","0","0","0","0","0","10,000","0","0","0","0"
"6223","接待交際費","5,000","4,545","4,545","0","0","0","4,536","0","7,000","20,905","0","5,000"
"6224","保険料","31,879","42,040","42,040","42,040","42,040","42,040","42,040","42,040","42,040","42,040","42,040","42,040"
"6225","備品消耗品費","485,531","576,481","707,721","1,010,376","755,603","425,846","695,204","592,634","484,382","690,361","491,167","763,638"
"6227","管理諸費","246,347","280,199","242,549","263,582","267,618","254,214","257,177","256,963","230,308","254,595","339,025","254,838"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","5,000","0","6,280","8,000","6,165","0","0","0","5,000"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","7,436,819","7,936,978","8,004,344","9,226,675","9,068,103","7,871,491","8,520,386","7,725,796","7,723,694","7,802,286","7,947,757","7,699,167"
,"営業利益（損失）","-312,938","1,068,663","1,193,531","5,340,229","4,090,153","1,156,239","2,471,845","789,972","1,002,053","-516,880","1,970,465","204,039"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","19,200","10,905","14,089","13,855","15,580","14,311","8,838","13,418","12,285","13,051","16,011","13,021"
,"営業外収益計","19,200","10,905","14,089","13,855","15,580","14,311","8,838","13,418","12,285","13,051","16,011","13,021"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","3,387","0","0","0","0","0","0","0","0","0","4"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
